 Miss. Laura Mabel Francatelli, 01
 Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"") Duff Gordon, 01
 Mr. Abraham L Salomon, 01
 Sir. Cosmo Edmund (""Mr Morgan"") Duff Gordon, 01
 Mr. Charles Emil Henry Stengel, 01
 Mrs. Walter Donald (Mahala Dutton) Douglas, 02
 Miss. Elisabeth Walton Allen, 02
 Miss. Georgette Alexandra Madill, 02
 Mrs. Robert Clifford (Malvina Helen Lamson) Cornell, 02
 Mrs. William (Winnie ""Minnie"" Treanor) Coutts, 02
 Miss. Emilie Kreuchen, 02
 Miss. Luise Gretchen Kink-Heilmann, 02
 Miss. Bertha LeRoy, 02
 Mrs. Edward Scott (Elisabeth Walton McMillan) Robert, 02
 Master. William Loch ""William Coutts, 02
 Mrs. Anton (Luise Heilmann) Kink-Heilmann, 02
 Mr. Anton Kink-Heilmann, 02
 Master. Eden Leslie ""Neville Coutts, 02
 Miss. Elizabeth Margaret Burns, 03
 Miss. Helen Alice Wilson, 03
 Miss. Elizabeth W Shutes, 03
 Mr. Thomas Drake Martinez Cardeza, 03
 Miss. Anna Ward, 03
 Mrs. James Warburton Martinez (Charlotte Wardle Drake) Cardeza, 03
 Mr. Adolphe Saalfeld, 03
 Miss. Margaret Edith Graham, 03
 Mr. Albert Adrian Dick, 03
 Mrs. William Thompson (Edith Junkins) Graham, 03
 Dr. Max Stahelin-Maeglin, 03
 Mrs. Henry Sleeper (Myna Haxtun) Harper, 03
 Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden, 03
 Mrs. Thornton (Orian Hays) Davidson, 03
 Mr. Frederic Oakley Spedden, 03
 Miss. Anne Perreault, 03
 Mr. Gustave J Lesurer, 03
 Mrs. Albert Adrian (Vera Gillespie) Dick, 03
 Master. Robert Douglas Spedden, 03
 Mr. Harry Anderson, 03
 Mr. Robert Williams Daniel, 03
 Mr. Henry Sleeper Harper, 03
 Mr. Walter James Hawksford, 03
 Col. Oberst Alfons Simonius-Blumer, 03
 Mrs. Charles Melville (Clara Jennings Gregg) Hays, 03
 Mr. Hammad Hassab, 03
 Miss. Lucile Polk Carter, 04
 Mrs. Elizabeth (Eliza Needs) Hocking, 04
 Miss. Victorine Chaudanson, 04
 Miss. Susan Parker ""Suzette Ryerson, 04
 Master. William Thornton II Carter, 04
 Miss. Emily Borie Ryerson, 04
 Mrs. John Borland (Marian Longstreth Morris) Thayer, 04
 Mrs. William Ernest (Lucile Polk) Carter, 04
 Miss. Grace Scott Bowen, 04
 Mrs. John Bradley (Florence Briggs Thayer) Cumings, 04
 Miss. Rosalie Bidois, 04
 Mrs. Arthur Larned (Emily Maria Borie) Ryerson, 04
 Mrs. George Dunton (Eleanor Elkins) Widener, 04
 Mrs. Sidney (Emily Hocking) Richards, 04
 Mrs. Herbert Fuller (Carrie Constance Toogood) Chaffee, 04
 Mrs. Louis Albert (Ida Sophia Fischer) Hippach, 04
 Master. George Sibley Richards, 04
 Master. John Borie Ryerson, 04
 Mrs. John Jacob (Madeleine Talmadge Force) Astor, 04
 Miss. Jean Gertrude Hippach, 04
 Mrs. Walter Bertram (Martha Eustis) Stephenson, 04
 Miss. Elizabeth Mussey Eustis, 04
 Miss. Amalie Geiger, 04
 Master. Viljo Hamalainen, 04
 Miss. Caroline Louise Endres, 04
 Master. William Rowe Richards, 04
 Miss. Margaret Fleming, 04
 Mrs. Walter Miller (Virginia McDowell) Clark, 04
 Mrs. William (Anna) Hamalainen, 04
 Miss. Augusta Serepeca, 04
 Miss. Ellen ""Nellie Hocking, 04
 Miss. Helene Ragnhild Ostby, 05
 Mr. John Irwin (""Irving"") Flynn, 05
 Mr. Norman Campbell Chambers, 05
 Mrs. Frank Manley (Anna Sophia Atkinson) Warren, 05
 Mr. Richard Leonard Beckwith, 05
 Mrs. Maxmillian (Margaretha Emerentia Stehli) Frolicher-Stehli, 05
 Mr. Edwin Nelson Jr Kimball, 05
 Miss. Hedwig Margaritha Frolicher, 05
 Miss. Helen Monypeny Newsom, 05
 Mr. Edward Pennington Calderhead, 05
 Mr. Elmer Zebley Taylor, 05
 Mrs. Charles Emil Henry (Annie May Morris) Stengel, 05
 Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick) Cassebeer, 05
 Mrs. George Achilles (Dorothy Annan) Harder, 05
 Mr. Isaac Gerald Frauenthal, 05
 Dr. Henry William Frauenthal, 05
 Mrs. Richard Leonard (Sallie Monypeny) Beckwith, 05
 Mr. Samuel L Goldenberg, 05
 Mrs. Henry William (Clara Heinsheimer) Frauenthal, 05
 Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor, 05
 Mr. Karl Howell Behr, 05
 Mrs. Norman Campbell (Bertha Griggs) Chambers, 05
 Mrs. Samuel L (Edwiga Grabowska) Goldenberg, 05
 Mr. Spencer Victor Silverthorne, 05
 Mr. George Achilles Harder, 05
 Mr. Maxmillian Frolicher-Stehli, 05
 Master. Washington Dodge, 05
 Mr. Peter Denis  Daly, 05
 Mrs. Washington (Ruth Vidaver) Dodge, 05
 Mrs. Edwin Nelson Jr (Gertrude Parsons) Kimball, 05
 Mr. Fahim (""Philip Zenni"") Leeni, 06
 Mrs. Edgar Joseph (Leila Saks) Meyer, 06
 Mrs. James (Helene DeLaudeniere Chaput) Baxter, 06
 Major. Arthur Godfrey Peuchen, 06
 Mrs. James Joseph (Margaret Tobin) Brown, 06
 Mrs. Tyrell William (Julia Florence Siegel) Cavendish, 06
 Mrs. George Nelson (Martha Evelyn) Stone, 06
 Mrs. Martin (Elizabeth L. Barrett) Rothschild, 06
 Mrs. Frederick Charles (Mary Helene Baxter) Douglas, 06
 Miss. Amelie Icard, 06
 Mrs. Lucien Philip (Mary Eloise Hughes) Smith, 06
 Miss. Madeleine Newell, 06
 Miss. Elsie Edith Bowerman, 06
 Mrs. William Augustus (Marie Eugenie) Spencer, 06
 Mrs. (Edith Martha Bowerman) Chibnall, 06
 Mrs. Edward (Helen Churchill Hungerford) Candee, 06
 Miss. Marjorie Newell, 06
 Mrs. Carl Johan (Sigrid Posse) Lindstrom, 06
 Mlle. Berthe Antonine (""Mrs de Villiers"") Mayne, 06
 Miss. Ellen ""Nellie Barber, 06
 Mr. William Bertram Greenfield, 07
 Mrs. Leo David (Blanche Strouse) Greenfield, 07
 Mrs. Alfred (Antoinette) Flegenheim, 07
 Miss. Dorothy Winifred Gibson, 07
 Mrs. John Pillsbury (Nelle Stevenson) Snyder, 07
 Mr. John Pillsbury Snyder, 07
 Mr. William Thompson Sloper, 07
 Mr. Paul Romaine Chevre, 07
 Mr. Henry Blank, 07
 Mrs. Leonard (Pauline C Boeson) Gibson, 07
 Mr. Frederic Kimber Seward, 07
 Mrs. Edward Gifford (Catherine Elizabeth Halstead) Crosby, 07
 Miss. Margaret Bechstein Hays, 07
 Mr. Alfred Fernand Omont, 07
 Mr. Alfred (""Baron von Drachstedt"") Nourney, 07
 Mrs. Boulton (Olive Potter) Earnshaw, 07
 Mr. Gilbert Milligan Jr Tucker, 07
 Mr. Pierre Marechal, 07
 Mrs. Thomas Jr (Lily Alexenia Wilson) Potter, 07
 Mr. Dickinson H Bishop, 07
 Mrs. Dickinson H (Helen Walton) Bishop, 07
 Miss. Harriet R Crosby, 07
 Mr. James Robert McGough, 07
 Miss. Mary Natalie Wick, 08
 Miss. Roberta Maioni, 08
 Miss. Ellen Bird, 08
 Mrs. Frederick R (Marion) Kenyon, 08
 Mrs. Emil (Tillie Mandelbaum) Taussig, 08
 Mrs. Thomas (Edith Wearne) Pears, 08
 Miss. Ruth Taussig, 08
 Dona. Fermina Oliva y Ocana, 08
 Miss. Amelia Bissette, 08
 the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes, 08
 Miss. Caroline Bonnell, 08
 Miss. Gladys Cherry, 08
 Miss. Albina Bazzani, 08
 Miss. Elizabeth Bonnell, 08
 Mrs. John Stuart (Ella Holmes) White, 08
 Mrs. William Robert (Emma Eliza Ward) Bucknell, 08
 Miss. Sarah Daniels, 08
 Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana, 08
 Mrs. George Dennick (Mary Hitchcock) Wick, 08
